# -------------------------------------------------
# ---- A FAST FORWARD ERROR CORRECTION TOOL >> ----
# -------------------------------------------------
# Parameters:
# * Simulation ------------------------------------
#    ** Type                  = BFER
#    ** SNR min (m)           = 0.000000 dB
#    ** SNR max (M)           = 14.000000 dB
#    ** SNR step (s)          = 0.500000 dB
#    ** Type of bits          = int (32 bits)
#    ** Type of reals         = float (32 bits)
#    ** Inter frame level     = 6
#    ** Seed                  = 0
#    ** Multi-threading (t)   = 8 thread(s)
# * Code ------------------------------------------
#    ** Type                  = UNCODED
#    ** Info. bits (K)        = 12
#    ** Codeword size (N)     = 12
#    ** Coset approach (c)    = off
# * Source ----------------------------------------
#    ** Type                  = RAND_FAST
# * Encoder ---------------------------------------
#    ** Type                  = NO
#    ** Systematic encoding   = on
# * Modulator -------------------------------------
#    ** Type                  = 8-SCMA_FAST
# * Channel ---------------------------------------
#    ** Type                  = AWGN_FAST
#    ** Domain                = LLR
# * Demodulator -----------------------------------
#    ** Sigma square          = on
#    ** Max type              = MAX
#    ** Number of iterations  = 5
#    ** Psi function          = PSI3
# * Decoder ---------------------------------------
#    ** Type (D)              = NO
#    ** Implementation        = HARD_DECISION
# * Monitor ---------------------------------------
#    ** Frame error count (e) = 10000
#
# The simulation is running...
# -------------------------------------------------------------||--------------------------------||---------------------
#   Bit Error Rate (BER) and Frame Error Rate (FER) depending  ||     Decoder throughput and     ||  Global throughput  
#             on the Signal Noise Ratio (SNR) Eb/N0            ||      latency (per thread)      ||  and elapsed time   
# -------------------------------------------------------------||--------------------------------||---------------------
# ------|----------|----------|----------|----------|----------||----------|----------|----------||----------|----------
  Eb/N0 |      FRA |       BE |       FE |      BER |      FER ||     CTHR |     ITHR |  LATENCY || SIM_CTHR |    ET/RT 
#  (dB) |          |          |          |          |          ||   (Mb/s) |   (Mb/s) |     (us) ||   (Mb/s) | (hhmmss) 
# ------|----------|----------|----------|----------|----------||----------|----------|----------||----------|----------
   0.00 |    11574 |    21619 |    10037 | 1.56e-01 | 8.67e-01 ||    63.45 |    63.45 |     1.13 ||     9.84 | 00h00'00  
   0.50 |    11880 |    20667 |    10037 | 1.45e-01 | 8.45e-01 ||    67.59 |    67.59 |     1.07 ||    13.13 | 00h00'00  
   1.00 |    12228 |    19827 |    10032 | 1.35e-01 | 8.20e-01 ||    65.49 |    65.49 |     1.10 ||    11.83 | 00h00'00  
   1.50 |    12660 |    18901 |    10038 | 1.24e-01 | 7.93e-01 ||    67.43 |    67.43 |     1.07 ||    14.18 | 00h00'00  
   2.00 |    13206 |    18021 |    10032 | 1.14e-01 | 7.60e-01 ||    66.31 |    66.31 |     1.09 ||    14.96 | 00h00'00  
   2.50 |    14046 |    17225 |    10036 | 1.02e-01 | 7.15e-01 ||    62.61 |    62.61 |     1.15 ||    14.90 | 00h00'00  
   3.00 |    15102 |    16343 |    10021 | 9.02e-02 | 6.64e-01 ||    65.32 |    65.32 |     1.10 ||    15.94 | 00h00'00  
   3.50 |    16434 |    15513 |    10022 | 7.87e-02 | 6.10e-01 ||    67.63 |    67.63 |     1.06 ||    15.08 | 00h00'00  
   4.00 |    18198 |    14750 |    10024 | 6.75e-02 | 5.51e-01 ||    68.18 |    68.18 |     1.06 ||    13.70 | 00h00'00  
   4.50 |    20664 |    13952 |    10018 | 5.63e-02 | 4.85e-01 ||    64.19 |    64.19 |     1.12 ||    14.71 | 00h00'00  
