# -------------------------------------------------
# ---- A FAST FORWARD ERROR CORRECTION TOOL >> ----
# -------------------------------------------------
# Parameters:
# * Simulation ------------------------------------
#    ** Type                  = BFER
#    ** SNR min (m)           = 0.000000 dB
#    ** SNR max (M)           = 14.000000 dB
#    ** SNR step (s)          = 0.500000 dB
#    ** Type of bits          = int (32 bits)
#    ** Type of reals         = float (32 bits)
#    ** Inter frame level     = 6
#    ** Seed                  = 0
#    ** Multi-threading (t)   = 8 thread(s)
# * Code ------------------------------------------
#    ** Type                  = UNCODED
#    ** Info. bits (K)        = 12
#    ** Codeword size (N)     = 12
#    ** Coset approach (c)    = off
# * Source ----------------------------------------
#    ** Type                  = RAND_FAST
# * Encoder ---------------------------------------
#    ** Type                  = NO
#    ** Systematic encoding   = on
# * Modulator -------------------------------------
#    ** Type                  = 8-SCMA_FAST
# * Channel ---------------------------------------
#    ** Type                  = AWGN_FAST
#    ** Domain                = LLR
# * Demodulator -----------------------------------
#    ** Sigma square          = on
#    ** Max type              = MAX
#    ** Number of iterations  = 5
#    ** Psi function          = PSI0
# * Decoder ---------------------------------------
#    ** Type (D)              = NO
#    ** Implementation        = HARD_DECISION
# * Monitor ---------------------------------------
#    ** Frame error count (e) = 10000
#
# The simulation is running...
# -------------------------------------------------------------||--------------------------------||---------------------
#   Bit Error Rate (BER) and Frame Error Rate (FER) depending  ||     Decoder throughput and     ||  Global throughput  
#             on the Signal Noise Ratio (SNR) Eb/N0            ||      latency (per thread)      ||  and elapsed time   
# -------------------------------------------------------------||--------------------------------||---------------------
# ------|----------|----------|----------|----------|----------||----------|----------|----------||----------|----------
  Eb/N0 |      FRA |       BE |       FE |      BER |      FER ||     CTHR |     ITHR |  LATENCY || SIM_CTHR |    ET/RT 
#  (dB) |          |          |          |          |          ||   (Mb/s) |   (Mb/s) |     (us) ||   (Mb/s) | (hhmmss) 
# ------|----------|----------|----------|----------|----------||----------|----------|----------||----------|----------
   0.00 |    11592 |    21530 |    10040 | 1.55e-01 | 8.66e-01 ||    47.89 |    47.89 |     1.50 ||     8.89 | 00h00'00  
   0.50 |    11904 |    20519 |    10036 | 1.44e-01 | 8.43e-01 ||    65.48 |    65.48 |     1.10 ||    12.09 | 00h00'00  
   1.00 |    12330 |    19678 |    10037 | 1.33e-01 | 8.14e-01 ||    65.75 |    65.75 |     1.10 ||    13.68 | 00h00'00  
   1.50 |    12918 |    18737 |    10020 | 1.21e-01 | 7.76e-01 ||    74.78 |    74.78 |     0.96 ||    13.51 | 00h00'00  
   2.00 |    13596 |    17905 |    10042 | 1.10e-01 | 7.39e-01 ||    65.86 |    65.86 |     1.09 ||    15.41 | 00h00'00  
   2.50 |    14544 |    17028 |    10036 | 9.76e-02 | 6.90e-01 ||    65.25 |    65.25 |     1.10 ||    15.69 | 00h00'00  
   3.00 |    15786 |    16227 |    10030 | 8.57e-02 | 6.35e-01 ||    66.65 |    66.65 |     1.08 ||    15.75 | 00h00'00  
   3.50 |    17424 |    15418 |    10025 | 7.37e-02 | 5.75e-01 ||    64.89 |    64.89 |     1.11 ||    14.63 | 00h00'00  
   4.00 |    19770 |    14766 |    10023 | 6.22e-02 | 5.07e-01 ||    66.07 |    66.07 |     1.09 ||    15.59 | 00h00'00  
   4.50 |    23280 |    14139 |    10021 | 5.06e-02 | 4.30e-01 ||    65.48 |    65.48 |     1.10 ||    15.93 | 00h00'00  
