# ------|----------|----------|----------|----------|----------||------|-------|------|---------|---------|----------||----------|----------
    SNR |      FRA |       BE |       FE |      BER |      FER ||   LD |   DEC |   ST |    CTHR |    ITHR |  LATENCY || SIM_CTHR |    ET/RT
#  (dB) |          |          |          |          |          ||  (%) |   (%) |  (%) |  (Mb/s) |  (Mb/s) |     (us) ||   (Mb/s) | (hhmmss)
# ------|----------|----------|----------|----------|----------||------|-------|------|---------|---------|----------||----------|----------
   0.00 |      320 |   241661 |      320 | 1.23e-01 | 1.00e+00 ||  3.1 |  95.9 |  0.9 |   10.12 |    3.37 |  7287.43 ||    27.12 | 00h00'00
#  0.10 |      260 |   147512 |      259 | 9.23e-02 | 9.96e-01 ||  4.3 |  94.7 |  1.1 |   11.22 |    3.74 |  6569.85 ||    95.83 | 00h00'00
   0.20 |      260 |    98565 |      258 | 6.17e-02 | 9.92e-01 ||  4.8 |  94.1 |  1.1 |   11.60 |    3.87 |  6357.40 ||    90.69 | 00h00'00
#  0.30 |      296 |    50664 |      256 | 2.79e-02 | 8.65e-01 ||  4.0 |  94.9 |  1.1 |   10.60 |    3.53 |  6958.23 ||   109.37 | 00h00'00
   0.40 |      420 |    20802 |      247 | 8.06e-03 | 5.88e-01 ||  3.9 |  95.0 |  1.0 |    9.96 |    3.32 |  7403.84 ||   135.76 | 00h00'00
#  0.50 |      676 |     4481 |      145 | 1.08e-03 | 2.14e-01 ||  4.4 |  94.4 |  1.2 |   10.51 |    3.50 |  7012.50 ||   176.19 | 00h00'00
   0.60 |     2428 |     1322 |      107 | 8.86e-05 | 4.41e-02 ||  3.7 |  95.0 |  1.3 |    9.07 |    3.02 |  8128.93 ||   263.15 | 00h00'00
#  0.70 |    19840 |      706 |      103 | 5.79e-06 | 5.19e-03 ||  3.6 |  95.2 |  1.1 |    8.83 |    2.94 |  8350.43 ||   309.23 | 00h00'01
   0.80 |   181880 |      251 |      100 | 2.25e-07 | 5.50e-04 ||  3.4 |  95.5 |  1.1 |    9.18 |    3.06 |  8029.80 ||   329.31 | 00h00'10
#  0.90 |   774540 |      238 |      100 | 5.00e-08 | 1.29e-04 ||  3.5 |  95.5 |  1.0 |    8.39 |    2.80 |  8791.47 ||   313.31 | 00h00'45
   1.00 |  1787104 |      236 |      100 | 2.15e-08 | 5.60e-05 ||  3.7 |  95.2 |  1.1 |    8.72 |    2.91 |  8453.52 ||   320.26 | 00h01'42
#  1.10 |  4072104 |      232 |      100 | 9.27e-09 | 2.46e-05 ||  3.5 |  95.4 |  1.1 |    8.88 |    2.96 |  8304.88 ||   323.99 | 00h03'51
   1.20 |  7950464 |      226 |      100 | 4.63e-09 | 1.26e-05 ||  3.5 |  95.4 |  1.1 |    8.75 |    2.92 |  8427.19 ||   321.00 | 00h07'36
#  1.30 | 13461548 |      229 |      100 | 2.77e-09 | 7.43e-06 ||  3.7 |  95.2 |  1.1 |    8.65 |    2.88 |  8520.39 ||   317.31 | 00h13'01
   1.40 | 28712952 |      220 |      100 | 1.25e-09 | 3.48e-06 ||  3.5 |  95.5 |  1.1 |    8.85 |    2.95 |  8334.21 ||   323.72 | 00h27'14
#  1.50 | 46828636 |      248 |      100 | 8.62e-10 | 2.14e-06 ||  3.7 |  95.2 |  1.1 |    8.77 |    2.92 |  8406.02 ||   321.38 | 00h44'45
   1.60 | 84003792 |      226 |      100 | 4.38e-10 | 1.19e-06 ||  3.7 |  95.2 |  1.1 |    8.19 |    2.73 |  9004.96 ||   308.59 | 01h23'37
#  1.70 | 1.17e+08 |      213 |      100 | 2.95e-10 | 8.52e-07 ||  3.4 |  95.6 |  1.1 |    8.51 |    2.84 |  8665.98 ||   316.30 | 01h54'02
   1.80 | 2.17e+08 |      215 |      100 | 1.62e-10 | 4.62e-07 ||  3.6 |  95.3 |  1.1 |    8.61 |    2.87 |  8564.17 ||   318.26 | 03h29'04
#  1.90 | 3.49e+08 |      210 |      100 | 9.79e-11 | 2.87e-07 ||  3.7 |  95.2 |  1.1 |    8.43 |    2.81 |  8750.44 ||   314.25 | 05h41'09
   2.00 | 5.85e+08 |      219 |      100 | 6.09e-11 | 1.71e-07 ||  3.9 |  95.0 |  1.1 |    8.52 |    2.84 |  8654.82 ||   315.60 | 09h29'42
