# -------------------------------------------------
# ---- A FAST FORWARD ERROR CORRECTION TOOL >> ----
# -------------------------------------------------
# Parameters:
# * Simulation ------------------------------------
#    ** Type                  = BFER
#    ** SNR min (m)           = 0.000000 dB
#    ** SNR max (M)           = 14.000000 dB
#    ** SNR step (s)          = 0.500000 dB
#    ** Type of bits          = int (32 bits)
#    ** Type of reals         = float (32 bits)
#    ** Inter frame level     = 6
#    ** Seed                  = 0
#    ** Multi-threading (t)   = 8 thread(s)
# * Code ------------------------------------------
#    ** Type                  = UNCODED
#    ** Info. bits (K)        = 12
#    ** Codeword size (N)     = 12
#    ** Coset approach (c)    = off
# * Source ----------------------------------------
#    ** Type                  = RAND_FAST
# * Encoder ---------------------------------------
#    ** Type                  = NO
#    ** Systematic encoding   = on
# * Modulator -------------------------------------
#    ** Type                  = 8-SCMA_MXL
# * Channel ---------------------------------------
#    ** Type                  = AWGN_FAST
#    ** Domain                = LLR
# * Demodulator -----------------------------------
#    ** Sigma square          = on
#    ** Max type              = MAX
#    ** Number of iterations  = 5
#    ** Psi function          = PSI0
# * Decoder ---------------------------------------
#    ** Type (D)              = NO
#    ** Implementation        = HARD_DECISION
# * Monitor ---------------------------------------
#    ** Frame error count (e) = 10000
#
# The simulation is running...
# -------------------------------------------------------------||--------------------------------||---------------------
#   Bit Error Rate (BER) and Frame Error Rate (FER) depending  ||     Decoder throughput and     ||  Global throughput  
#             on the Signal Noise Ratio (SNR) Eb/N0            ||      latency (per thread)      ||  and elapsed time   
# -------------------------------------------------------------||--------------------------------||---------------------
# ------|----------|----------|----------|----------|----------||----------|----------|----------||----------|----------
  Eb/N0 |      FRA |       BE |       FE |      BER |      FER ||     CTHR |     ITHR |  LATENCY || SIM_CTHR |    ET/RT 
#  (dB) |          |          |          |          |          ||   (Mb/s) |   (Mb/s) |     (us) ||   (Mb/s) | (hhmmss) 
# ------|----------|----------|----------|----------|----------||----------|----------|----------||----------|----------
   0.00 |    11292 |    23436 |    10038 | 1.73e-01 | 8.89e-01 ||    63.26 |    63.26 |     1.14 ||     5.35 | 00h00'00  
   0.50 |    11628 |    22402 |    10034 | 1.61e-01 | 8.63e-01 ||    63.17 |    63.17 |     1.14 ||     5.58 | 00h00'00  
   1.00 |    11964 |    21526 |    10041 | 1.50e-01 | 8.39e-01 ||    60.55 |    60.55 |     1.19 ||     5.91 | 00h00'00  
   1.50 |    12456 |    20476 |    10036 | 1.37e-01 | 8.06e-01 ||    63.01 |    63.01 |     1.14 ||     5.45 | 00h00'00  
   2.00 |    13044 |    19474 |    10039 | 1.24e-01 | 7.70e-01 ||    60.99 |    60.99 |     1.18 ||     5.82 | 00h00'00  
   2.50 |    13902 |    18581 |    10030 | 1.11e-01 | 7.21e-01 ||    60.41 |    60.41 |     1.19 ||     5.96 | 00h00'00  
   3.00 |    14946 |    17439 |    10030 | 9.72e-02 | 6.71e-01 ||    60.70 |    60.70 |     1.19 ||     5.78 | 00h00'00  
   3.50 |    16428 |    16406 |    10028 | 8.32e-02 | 6.10e-01 ||    60.59 |    60.59 |     1.19 ||     5.83 | 00h00'00  
   4.00 |    18492 |    15596 |    10029 | 7.03e-02 | 5.42e-01 ||    60.49 |    60.49 |     1.19 ||     5.87 | 00h00'00  
   4.50 |    21498 |    14932 |    10034 | 5.79e-02 | 4.67e-01 ||    61.61 |    61.61 |     1.17 ||     5.81 | 00h00'00  
