# ------|----------|----------|----------|----------|----------||------|-------|------|---------|---------|----------||----------|----------
    SNR |      FRA |       BE |       FE |      BER |      FER ||   LD |   DEC |   ST |    CTHR |    ITHR |  LATENCY || SIM_CTHR |    ET/RT
#  (dB) |          |          |          |          |          ||  (%) |   (%) |  (%) |  (Mb/s) |  (Mb/s) |     (us) ||   (Mb/s) | (hhmmss)
# ------|----------|----------|----------|----------|----------||------|-------|------|---------|---------|----------||----------|----------
   0.00 |      352 |   280982 |      352 | 1.30e-01 | 1.00e+00 ||  4.2 |  95.2 |  0.5 |   15.51 |    5.17 |  9507.74 ||   100.09 | 00h00'00
#  0.10 |      344 |   215066 |      344 | 1.02e-01 | 1.00e+00 ||  4.3 |  95.1 |  0.6 |   20.22 |    6.74 |  7291.55 ||   246.75 | 00h00'00
   0.20 |      344 |   130873 |      335 | 6.19e-02 | 9.74e-01 ||  4.7 |  94.6 |  0.7 |   22.91 |    7.64 |  6435.71 ||   248.34 | 00h00'00
#  0.30 |      320 |    62043 |      295 | 3.16e-02 | 9.22e-01 ||  4.4 |  95.0 |  0.6 |   23.75 |    7.92 |  6209.72 ||   239.04 | 00h00'00
   0.40 |      368 |    22816 |      234 | 1.01e-02 | 6.36e-01 ||  4.6 |  94.8 |  0.6 |   22.92 |    7.64 |  6433.48 ||   254.17 | 00h00'00
#  0.50 |      624 |     6579 |      166 | 1.72e-03 | 2.66e-01 ||  4.3 |  95.0 |  0.7 |   22.36 |    7.45 |  6593.41 ||   320.15 | 00h00'00
   0.60 |     2120 |     2020 |      117 | 1.55e-04 | 5.52e-02 ||  4.1 |  95.3 |  0.6 |   19.21 |    6.40 |  7677.64 ||   413.16 | 00h00'00
#  0.70 |    15960 |      539 |      100 | 5.50e-06 | 6.27e-03 ||  4.1 |  95.3 |  0.6 |   16.53 |    5.51 |  8922.68 ||   411.34 | 00h00'00
   0.80 |   146552 |      345 |      100 | 3.83e-07 | 6.82e-04 ||  4.0 |  95.4 |  0.6 |   16.87 |    5.62 |  8742.43 ||   426.42 | 00h00'06
#  0.90 |   620344 |      216 |      100 | 5.67e-08 | 1.61e-04 ||  4.0 |  95.4 |  0.6 |   16.80 |    5.60 |  8778.76 ||   425.59 | 00h00'26
   1.00 |  1744624 |      223 |      100 | 2.08e-08 | 5.73e-05 ||  4.0 |  95.3 |  0.7 |   16.52 |    5.51 |  8926.33 ||   417.05 | 00h01'17
#  1.10 |  3802808 |      233 |      100 | 9.97e-09 | 2.63e-05 ||  4.0 |  95.3 |  0.7 |   16.79 |    5.60 |  8782.79 ||   424.90 | 00h02'44
   1.20 |  8057280 |      221 |      100 | 4.46e-09 | 1.24e-05 ||  4.1 |  95.3 |  0.7 |   16.55 |    5.52 |  8912.38 ||   418.24 | 00h05'55
#  1.30 | 13829976 |      223 |      100 | 2.62e-09 | 7.23e-06 ||  4.0 |  95.3 |  0.6 |   16.50 |    5.50 |  8935.98 ||   418.93 | 00h10'08
   1.40 | 24261656 |      196 |      100 | 1.31e-09 | 4.12e-06 ||  4.0 |  95.3 |  0.6 |   14.74 |    4.91 | 10004.66 ||   377.47 | 00h19'44
#  1.50 | 42146480 |      219 |      100 | 8.46e-10 | 2.37e-06 ||  4.0 |  95.4 |  0.6 |   15.45 |    5.15 |  9546.48 ||   394.38 | 00h32'49
   1.60 | 64305008 |      205 |      100 | 5.19e-10 | 1.56e-06 ||  4.0 |  95.3 |  0.7 |   15.19 |    5.06 |  9704.74 ||   385.75 | 00h51'12
#  1.70 | 1.18e+08 |      203 |      100 | 2.80e-10 | 8.48e-07 ||  4.0 |  95.4 |  0.6 |   15.19 |    5.06 |  9709.76 ||   388.57 | 01h33'12
   1.80 | 1.74e+08 |      206 |      100 | 1.93e-10 | 5.75e-07 ||  4.0 |  95.4 |  0.6 |   15.41 |    5.14 |  9568.55 ||   393.30 | 02h15'48
#  1.90 | 3.37e+08 |      201 |      100 | 9.70e-11 | 2.97e-07 ||  4.0 |  95.3 |  0.6 |   16.21 |    5.40 |  9095.14 ||   411.47 | 04h11'44
   2.00 | 5.05e+08 |      202 |      100 | 6.52e-11 | 1.98e-07 ||  3.9 |  95.5 |  0.6 |   16.73 |    5.58 |  8814.06 ||   424.50 | 06h05'06
