#"float Thib."
#0.002892755615257203|0|0|0|0|0.9077853991937547
#0.10397675798944112|0|0|0|0|0.8240743309893653
#0.2035612758114398|0|0|0|0|0.7196856730011514
#0.30458904751491667|0|0|0|0|0.5489032450921552
#0.4040985911093061|0|0|0|0|0.3800422956365882
#0.5020961544469089|0|0|0|0|0.24353120734334138
#0.6030239605135735|0|0|0|0|0.13628679593557733
#0.7024522820280529|0|0|0|0|0.07337467970651378
#0.8017431507919152|0|0|0|0|0.025808615404180765
#0.9025022648464592|0|0|0|0|0.0085659021536855
#1.0032676267533036|0|0|0|0|0.002898577214651068
#1.102421042766549|0|0|0|0|0.0006660846290809161
#1.2001249570460155|0|0|0|0|0.00017190722018585764
#1.300677891974634|0|0|0|0|0.00003012947724726992
#1.3999062822154889|0|0|0|0|0.000008733261623828437
#1.499284620911562|0|0|0|0|0.00000402755997985031


#"int-32 Q_{5,3}"
#0.00437974446284084|0|0|0|0|0.9077853991937547
#0.10249601699415822|0|0|0|0|0.840174986929433
#0.2035612758114398|0|0|0|0|0.7196856730011514
#0.3046202867764206|0|0|0|0|0.6046619009070433
#0.4026740807847302|0|0|0|0|0.46117477677082536
#0.5036706132267034|0|0|0|0|0.3193020307691026
#0.6031239261503859|0|0|0|0|0.18574090746385707
#0.7025522476648652|0|0|0|0|0.1
#0.8033675923901159|0|0|0|0|0.039503780135666446
#0.9026084783355722|0|0|0|0|0.011902282447787156
#1.0033988316516198|0|0|0|0|0.00435166507092442
#1.1026397175970764|0|0|0|0|0.0013111339374215656
#1.2017493986442163|0|0|0|0|0.00026312860738959473
#1.300865327543657|0|0|0|0|0.000053838436220335
#1.4000187435569025|0|0|0|0|0.000012371916345321644
#1.5008778232482585|0|0|0|0|0.000005596276445319564


"float (ref)"
# ------|----------|----------|----------|----------|----------||------|-------|------|---------|---------|----------||----------|----------
#   SNR |      FRA |       BE |       FE |      BER |      FER ||   LD |   DEC |   ST |    CTHR |    ITHR |  LATENCY || SIM_CTHR |    ET/RT 
#  (dB) |          |          |          |          |          ||  (%) |   (%) |  (%) |  (Mb/s) |  (Mb/s) |     (us) ||   (Mb/s) | (hhmmss) 
# ------|----------|----------|----------|----------|----------||------|-------|------|---------|---------|----------||----------|----------
   0.00 |      168 |    19484 |      146 | 1.13e-01 | 8.69e-01 ||  2.1 |  97.0 |  0.9 |   10.96 |    3.65 |  1121.36 ||     7.90 | 00h00'00
#  0.10 |      236 |    22885 |      187 | 9.47e-02 | 7.92e-01 ||  2.2 |  96.8 |  0.9 |   11.17 |    3.72 |  1099.65 ||    27.77 | 00h00'00
   0.20 |      312 |    18340 |      174 | 5.74e-02 | 5.58e-01 ||  2.1 |  97.0 |  0.9 |   10.52 |    3.51 |  1168.20 ||    37.69 | 00h00'00
#  0.30 |      300 |    13129 |      148 | 4.27e-02 | 4.93e-01 ||  2.1 |  97.0 |  0.9 |   10.65 |    3.55 |  1153.87 ||    37.61 | 00h00'00
   0.40 |      464 |    10325 |      126 | 2.17e-02 | 2.72e-01 ||  2.1 |  97.0 |  0.9 |   11.50 |    3.83 |  1068.41 ||    68.76 | 00h00'00
#  0.50 |      664 |    10379 |      127 | 1.53e-02 | 1.91e-01 ||  2.0 |  97.0 |  0.9 |   11.15 |    3.72 |  1101.96 ||    92.06 | 00h00'00
   0.60 |     1536 |     7530 |      118 | 4.79e-03 | 7.68e-02 ||  2.0 |  97.1 |  0.9 |   10.70 |    3.57 |  1148.23 ||   157.37 | 00h00'00
#  0.70 |     3676 |     7160 |      111 | 1.90e-03 | 3.02e-02 ||  1.9 |  97.3 |  0.8 |    9.88 |    3.29 |  1244.12 ||   230.16 | 00h00'00
   0.80 |     7704 |     4932 |      103 | 6.25e-04 | 1.34e-02 ||  1.9 |  97.3 |  0.8 |   10.00 |    3.33 |  1229.35 ||   266.74 | 00h00'00
#  0.90 |    29756 |     3939 |      100 | 1.29e-04 | 3.36e-03 ||  2.1 |  97.1 |  0.8 |    9.86 |    3.29 |  1246.52 ||   322.15 | 00h00'00
   1.00 |   100884 |     3788 |      100 | 3.67e-05 | 9.91e-04 ||  1.9 |  97.2 |  0.8 |    9.76 |    3.25 |  1258.46 ||   341.07 | 00h00'00
#  1.10 |   504092 |     3437 |      100 | 6.66e-06 | 1.98e-04 ||  1.9 |  97.3 |  0.8 |    9.75 |    3.25 |  1260.49 ||   346.54 | 00h00'04
   1.20 |  2113968 |     2139 |      100 | 9.88e-07 | 4.73e-05 ||  1.9 |  97.2 |  0.8 |    9.70 |    3.23 |  1266.42 ||   344.17 | 00h00'18
#  1.30 |  7062540 |     1398 |      100 | 1.93e-07 | 1.42e-05 ||  1.9 |  97.2 |  0.8 |    9.71 |    3.24 |  1265.94 ||   344.58 | 00h01'02
   1.40 | 18549916 |      472 |      100 | 2.48e-08 | 5.39e-06 ||  1.9 |  97.2 |  0.8 |    9.92 |    3.31 |  1239.23 ||   351.13 | 00h02'42
#  1.50 | 23351388 |      319 |      100 | 1.33e-08 | 4.28e-06 ||  2.0 |  97.2 |  0.8 |   10.02 |    3.34 |  1226.88 ||   353.05 | 00h03'23
   1.60 | 45774572 |      244 |      100 | 5.21e-09 | 2.18e-06 ||  2.0 |  97.2 |  0.8 |    9.95 |    3.32 |  1234.80 ||   351.77 | 00h06'39
#  1.70 | 71532688 |      210 |      100 | 2.87e-09 | 1.40e-06 ||  2.0 |  97.2 |  0.8 |    9.87 |    3.29 |  1245.32 ||   347.88 | 00h10'31
   1.80 | 1.06e+08 |      247 |      100 | 2.29e-09 | 9.48e-07 ||  2.0 |  97.2 |  0.8 |   10.00 |    3.33 |  1229.25 ||   352.81 | 00h15'18
#  1.90 | 1.40e+08 |      214 |      100 | 1.50e-09 | 7.17e-07 ||  2.0 |  97.2 |  0.8 |    9.96 |    3.32 |  1234.11 ||   351.89 | 00h20'18
   2.00 | 2.31e+08 |      191 |      100 | 8.07e-10 | 4.33e-07 ||  2.0 |  97.2 |  0.8 |   10.01 |    3.34 |  1226.96 ||   353.18 | 00h33'30
#  2.10 | 3.57e+08 |      198 |      100 | 5.42e-10 | 2.80e-07 ||  2.0 |  97.2 |  0.8 |    9.96 |    3.32 |  1233.13 ||   351.22 | 00h51'58
#  2.20 | 5.14e+08 |      186 |      100 | 3.53e-10 | 1.95e-07 ||  2.0 |  97.2 |  0.8 |   10.02 |    3.34 |  1226.86 ||   353.12 | 01h14'32
#  2.30 | 6.41e+08 |      181 |      100 | 2.76e-10 | 1.56e-07 ||  1.9 |  97.2 |  0.8 |    9.87 |    3.29 |  1245.38 ||   349.95 | 01h33'44
#  2.40 | 1.07e+09 |      188 |      100 | 1.72e-10 | 9.38e-08 ||  1.9 |  97.2 |  0.8 |    9.91 |    3.30 |  1239.64 ||   351.09 | 02h35'31
#  2.50 | 1.60e+09 |      175 |      100 | 1.07e-10 | 6.27e-08 ||  1.9 |  97.2 |  0.8 |    9.87 |    3.29 |  1244.78 ||   350.33 | 03h53'11


#"int-16 Q_{6,4}"
## -----|-----------|---------|------|----------|----------||-----------|-----------|------------|---------|---------|----------|----------
##  SNR |       FRA |      BE |   FE |      BER |      FER ||      LOAD |     STORE |     DECODE |    CTHR |    ITHR |  LATENCY |    ET/RT 
## (dB) |           |         |      |          |          ||      (ms) |      (ms) |       (ms) |  (Mb/s) |  (Mb/s) |     (us) | (hhmmss) 
## -----|-----------|---------|------|----------|----------||-----------|-----------|------------|---------|---------|----------|----------
#  0.00 |       112 |   15427 |  105 | 1.35e-01 | 9.38e-01 ||      0.53 |      0.10 |       6.49 |   48.34 |   16.11 |  1016.83 | 00h00'00  
#  0.10 |       128 |   13938 |  111 | 1.06e-01 | 8.67e-01 ||      0.62 |      0.14 |       8.85 |   40.91 |   13.64 |  1201.45 | 00h00'00  
#  0.20 |       160 |   11460 |  105 | 6.99e-02 | 6.56e-01 ||      0.89 |      0.15 |      11.99 |   37.70 |   12.57 |  1303.87 | 00h00'00  
