# ------|----------|----------|----------|----------|----------||------|-------|------|---------|---------|----------||----------|----------
    SNR |      FRA |       BE |       FE |      BER |      FER ||   LD |   DEC |   ST |    CTHR |    ITHR |  LATENCY || SIM_CTHR |    ET/RT
#  (dB) |          |          |          |          |          ||  (%) |   (%) |  (%) |  (Mb/s) |  (Mb/s) |     (us) ||   (Mb/s) | (hhmmss)
# ------|----------|----------|----------|----------|----------||------|-------|------|---------|---------|----------||----------|----------
   0.00 |      608 |   498383 |      608 | 1.33e-01 | 1.00e+00 || 12.4 |  84.3 |  3.3 |   31.72 |   10.57 |  9298.62 ||   156.78 | 00h00'00
#  0.10 |      576 |   391896 |      576 | 1.11e-01 | 1.00e+00 || 14.1 |  82.3 |  3.6 |   40.92 |   13.64 |  7207.42 ||   345.13 | 00h00'00
   0.20 |      432 |   205636 |      432 | 7.75e-02 | 1.00e+00 || 15.5 |  80.2 |  4.3 |   53.50 |   17.83 |  5512.83 ||   327.50 | 00h00'00
#  0.30 |      592 |   168209 |      584 | 4.62e-02 | 9.86e-01 || 13.6 |  82.9 |  3.5 |   38.26 |   12.75 |  7707.76 ||   357.71 | 00h00'00
   0.40 |      576 |    77128 |      521 | 2.18e-02 | 9.05e-01 || 14.3 |  82.0 |  3.7 |   37.79 |   12.60 |  7804.63 ||   359.78 | 00h00'00
#  0.50 |      656 |    23740 |      418 | 5.89e-03 | 6.37e-01 || 16.9 |  79.3 |  3.8 |   37.36 |   12.45 |  7893.81 ||   371.53 | 00h00'00
   0.60 |      848 |     5783 |      242 | 1.11e-03 | 2.85e-01 || 14.9 |  81.1 |  4.0 |   40.09 |   13.36 |  7356.61 ||   431.65 | 00h00'00
#  0.70 |     1936 |     1102 |      142 | 9.26e-05 | 7.33e-02 || 14.9 |  81.3 |  3.8 |   35.73 |   11.91 |  8253.91 ||   526.31 | 00h00'00
   0.80 |    11056 |      443 |      107 | 6.52e-06 | 9.68e-03 || 15.6 |  80.1 |  4.3 |   37.38 |   12.46 |  7890.57 ||   654.46 | 00h00'00
#  0.90 |    80240 |      230 |      100 | 4.67e-07 | 1.25e-03 || 15.2 |  80.5 |  4.3 |   37.03 |   12.34 |  7964.00 ||   682.07 | 00h00'02
   1.00 |   314256 |      190 |      101 | 9.84e-08 | 3.21e-04 || 16.1 |  79.4 |  4.5 |   38.57 |   12.86 |  7646.61 ||   703.25 | 00h00'08
#  1.10 |  1137376 |      196 |      100 | 2.80e-08 | 8.79e-05 || 16.2 |  79.2 |  4.6 |   39.57 |   13.19 |  7452.44 ||   715.06 | 00h00'29
   1.20 |  2273232 |      193 |      100 | 1.38e-08 | 4.40e-05 || 15.8 |  79.8 |  4.4 |   38.18 |   12.73 |  7724.90 ||   702.83 | 00h00'59
#  1.30 |  4141792 |      203 |      100 | 7.98e-09 | 2.41e-05 || 16.2 |  79.3 |  4.5 |   39.15 |   13.05 |  7532.62 ||   714.09 | 00h01'46
   1.40 |  9014432 |      192 |      100 | 3.47e-09 | 1.11e-05 || 16.2 |  79.2 |  4.6 |   39.66 |   13.22 |  7435.20 ||   718.23 | 00h03'51
#  1.50 | 13630176 |      190 |      100 | 2.27e-09 | 7.34e-06 || 16.2 |  79.2 |  4.6 |   39.30 |   13.10 |  7503.26 ||   714.15 | 00h05'51
   1.60 | 23728480 |      178 |      100 | 1.22e-09 | 4.21e-06 || 16.1 |  79.4 |  4.5 |   39.23 |   13.08 |  7518.09 ||   715.77 | 00h10'11
#  1.70 | 41908272 |      181 |      100 | 7.03e-10 | 2.39e-06 || 16.0 |  79.5 |  4.5 |   38.97 |   12.99 |  7567.97 ||   714.36 | 00h18'01
   1.80 | 81804304 |      185 |      100 | 3.68e-10 | 1.22e-06 || 16.3 |  79.1 |  4.6 |   39.38 |   13.13 |  7489.82 ||   710.70 | 00h35'21
#  1.90 | 1.04e+08 |      181 |      100 | 2.82e-10 | 9.57e-07 || 16.1 |  79.3 |  4.6 |   39.51 |   13.17 |  7464.63 ||   717.84 | 00h44'43
   2.00 | 2.04e+08 |      186 |      100 | 1.49e-10 | 4.91e-07 || 16.1 |  79.4 |  4.5 |   39.05 |   13.02 |  7551.87 ||   711.44 | 01h27'54
