# Generated decoder sizes in KByte
#
#----    ------------------    ------------------    ------------------    ------------------    --------------------    --------------------
# 2^n    32-bit inter r=1/2    32-bit inter r=5/6    32-bit intra r=1/2    32-bit intra r=5/6    8-bit BP intra r=1/2    8-bit BP intra r=5/6
#----    ------------------    ------------------    ------------------    ------------------    --------------------    --------------------
    2                   0.1                   0.3                   0.3                   0.1                     0.3                     0.3
    3                   0.7                   0.5                   0.5                   0.7                     0.8                     0.3
    4                   1.1                   1.2                   0.8                   0.9                     0.8                     1.2
    5                   3.7                   3.2                   2.8                   2.2                     3.2                     2.7
    6                   6.8                   4.2                   3.8                   2.5                     5.1                     3.6
    7                  15.5                   9.4                  10.4                   6.4                    13.9                     8.6
    8                  24.3                  18.7                  16.3                  12.8                    21.7                    17.8
    9                  41.0                  30.5                  29.4                  22.5                    37.4                    29.1
   10                  76.8                  53.4                  55.5                  38.1                    71.8                    50.5
   11                 132.0                  97.6                  97.3                  71.4                   128.1                   100.7
   12                 254.0                 166.9                 182.3                 125.7                   251.5                   190.7
   13                 458.5                 324.7                 316.5                 235.9                   457.5                   329.4
   14                 736.4                 590.6                 562.7                 391.5                   664.8                   461.0
   15                1360.4                 949.6                1048.1                 731.1                  1204.6                   853.2
   16                2528.3                1757.8                1946.9                1364.6                  2219.9                  1555.3
