# Generated decoder sizes in KByte
#
#----    ------------------    ------------------    ------------------    ------------------    --------------------    --------------------
# 2^n    32-bit inter r=1/2    32-bit inter r=5/6    32-bit intra r=1/2    32-bit intra r=5/6    8-bit BP intra r=1/2    8-bit BP intra r=5/6
#----    ------------------    ------------------    ------------------    ------------------    --------------------    --------------------
    2                   0.1                   0.1                   0.1                   0.1                     0.1                     0.1
    3                   0.1                   0.1                   0.1                   0.1                     0.1                     0.1
    4                   0.3                   0.4                   0.1                   0.2                     0.1                     0.3
    5                   0.6                   0.6                   0.6                   0.4                     0.4                     0.3
    6                   1.0                   0.6                   0.9                   0.6                     0.9                     0.5
    7                   1.9                   1.4                   2.3                   1.2                     1.7                     0.9
    8                   2.1                   1.8                   2.8                   2.5                     2.3                     1.7
    9                   3.7                   3.1                   5.2                   4.4                     4.0                     2.9
   10                   6.5                   4.2                   9.4                   5.8                     7.1                     4.4
   11                  10.9                   7.8                  16.0                  10.7                    11.8                     8.1
   12                  10.2                   6.6                   8.3                   7.2                     7.6                     6.0
   13                  12.4                  11.5                  12.0                  11.7                    11.8                    10.5
   14                  19.4                  15.8                  19.2                  15.5                    17.3                    14.1
   15                  27.0                  20.5                  24.8                  20.9                    23.2                    19.6
   16                  39.6                  32.1                  38.2                  27.2                    35.5                    26.1
