#"12 cores \_{AVX}"
#-	-	----	-----	----	-------
#K	N	ALGO	ITERS	ITHR	LATENCY
#-	-	----	-----	----	-------
#256	768	LTE_VERY_FAST	6	528.654	185.951
 512	1536	LTE_VERY_FAST	6	519.909	378.158
#768	2304	LTE_VERY_FAST	6	518.411	568.877
 1024	3072	LTE_VERY_FAST	6	517.351	760.056
#1280	3840	LTE_VERY_FAST	6	523.915	938.167
 1536	4608	LTE_VERY_FAST	6	512.577	1150.7
#1792	5376	LTE_VERY_FAST	6	509.01	1351.89
 2048	6144	LTE_VERY_FAST	6	482.424	1630.17
#2304	6912	LTE_VERY_FAST	6	509.054	1738.0
 2560	7680	LTE_VERY_FAST	6	504.054	1950.27
#2816	8448	LTE_VERY_FAST	6	501.231	2157.38
 3072	9216	LTE_VERY_FAST	6	493.427	2390.73
#3328	9984	LTE_VERY_FAST	6	486.846	2624.96
 3584	10752	LTE_VERY_FAST	6	472.392	2913.38
#3840	11520	LTE_VERY_FAST	6	462.395	3188.96
 4096	12288	LTE_VERY_FAST	6	364.649	4313.36
#4352	13056	LTE_VERY_FAST	6	341.387	4895.23
 4608	13824	LTE_VERY_FAST	6	328.086	5393.32
#4864	14592	LTE_VERY_FAST	6	308.387	6056.6
 5120	15360	LTE_VERY_FAST	6	299.404	6566.65
#5376	16128	LTE_VERY_FAST	6	285.237	7237.44
 5632	16896	LTE_VERY_FAST	6	266.505	8115.0
#5888	17664	LTE_VERY_FAST	6	258.932	8731.99
 6144	18432	LTE_VERY_FAST	6	233.928	10085.6
