#"1 core \_{SSE}"
#-	-	----	-----	----	-------
#K	N	ALGO	ITERS	ITHR	LATENCY
#-	-	----	-----	----	-------
#256	768	LTE_VERY_FAST	6	39.645	103.317
 512	1536	LTE_VERY_FAST	6	36.9559	221.67
#768	2304	LTE_VERY_FAST	6	35.7294	343.919
 1024	3072	LTE_VERY_FAST	6	42.2613	387.683
#1280	3840	LTE_VERY_FAST	6	41.0578	498.81
 1536	4608	LTE_VERY_FAST	6	41.7374	588.825
#1792	5376	LTE_VERY_FAST	6	40.4024	709.661
 2048	6144	LTE_VERY_FAST	6	40.8045	803.05
#2304	6912	LTE_VERY_FAST	6	40.7976	903.582
 2560	7680	LTE_VERY_FAST	6	40.5415	1010.32
#2816	8448	LTE_VERY_FAST	6	40.8661	1102.53
 3072	9216	LTE_VERY_FAST	6	40.8135	1204.31
#3328	9984	LTE_VERY_FAST	6	41.0137	1298.3
 3584	10752	LTE_VERY_FAST	6	41.1627	1393.11
#3840	11520	LTE_VERY_FAST	6	40.9407	1500.71
 4096	12288	LTE_VERY_FAST	6	40.1419	1632.61
#4352	13056	LTE_VERY_FAST	6	41.0968	1694.34
 4608	13824	LTE_VERY_FAST	6	40.7998	1807.07
#4864	14592	LTE_VERY_FAST	6	40.1655	1937.58
 5120	15360	LTE_VERY_FAST	6	40.5078	2022.33
#5376	16128	LTE_VERY_FAST	6	40.9684	2099.57
 5632	16896	LTE_VERY_FAST	6	41.2762	2183.15
#5888	17664	LTE_VERY_FAST	6	40.5599	2322.69
 6144	18432	LTE_VERY_FAST	6	41.1002	2391.81
