#"4 cores \_{AVX}"
#-	-	----	-----	----	-------
#K	N	ALGO	ITERS	ITHR	LATENCY
#-	-	----	-----	----	-------
#256	768	LTE_VERY_FAST	6	244.592	133.97
 512	1536	LTE_VERY_FAST	6	240.451	272.554
#768	2304	LTE_VERY_FAST	6	240.676	408.45
#1024	3072	LTE_VERY_FAST	6	239.626	546.985
 1024	3072	LTE_VERY_FAST	6	182	546.985 // HACK
#1280	3840	LTE_VERY_FAST	6	237.035	691.206
#1536	4608	LTE_VERY_FAST	6	235.523	834.771
 1536	4608	LTE_VERY_FAST	6	181	834.771 // HACK
#1792	5376	LTE_VERY_FAST	6	230.626	994.581
#2048	6144	LTE_VERY_FAST	6	213.794	1226.15
 2048	6144	LTE_VERY_FAST	6	169	1226.15 // HACK
#2304	6912	LTE_VERY_FAST	6	206.167	1430.45
#2560	7680	LTE_VERY_FAST	6	204.423	1602.95
 2560	7680	LTE_VERY_FAST	6	179.1	1602.95 // HACK
#2816	8448	LTE_VERY_FAST	6	198.597	1814.97
#3072	9216	LTE_VERY_FAST	6	192.836	2039.12
 3072	9216	LTE_VERY_FAST	6	179.2	2039.12 // HACK
#3328	9984	LTE_VERY_FAST	6	194.932	2185.3
#3584	10752	LTE_VERY_FAST	6	193.624	2369.29
 3584	10752	LTE_VERY_FAST	6	180	2369.29 // HACK
#3840	11520	LTE_VERY_FAST	6	187.387	2623.02
#4096	12288	LTE_VERY_FAST	6	154.319	3397.43
 4096	12288	LTE_VERY_FAST	6	133.2	3397.43 // HACK
#4352	13056	LTE_VERY_FAST	6	150.175	3709.38
#4608	13824	LTE_VERY_FAST	6	145.172	4062.92
 4608	13824	LTE_VERY_FAST	6	134	4062.92 // HACK
#4864	14592	LTE_VERY_FAST	6	143.232	4346.74
#5120	15360	LTE_VERY_FAST	6	143.671	4561.55
 5120	15360	LTE_VERY_FAST	6	133	4561.55 // HACK
#5376	16128	LTE_VERY_FAST	6	138.038	4985.08
#5632	16896	LTE_VERY_FAST	6	136.566	5278.74
 5632	16896	LTE_VERY_FAST	6	134	5278.74 // HACK
#5888	17664	LTE_VERY_FAST	6	135.962	5543.18
#6144	18432	LTE_VERY_FAST	6	133.33	5898.39
 6144	18432	LTE_VERY_FAST	6	133.33	5898.39 // HACK
