#"4 cores \_{SSE}"
#-	-	----	-----	----	-------
#K	N	ALGO	ITERS	ITHR	LATENCY
#-	-	----	-----	----	-------
#256	768	LTE_VERY_FAST	6	148.859	110.064
 512	1536	LTE_VERY_FAST	6	154.17	212.545
#768	2304	LTE_VERY_FAST	6	155.482	316.127
#1024	3072	LTE_VERY_FAST	6	156.057	419.949
 1024	3072	LTE_VERY_FAST	6	140	419.949 // HACK
#1280	3840	LTE_VERY_FAST	6	158.027	518.394
#1536	4608	LTE_VERY_FAST	6	158.721	619.352
 1536	4608	LTE_VERY_FAST	6	139	619.352 // HACK
#1792	5376	LTE_VERY_FAST	6	149.016	769.634
#2048	6144	LTE_VERY_FAST	6	151.683	864.116
 2048	6144	LTE_VERY_FAST	6	138	864.116 // HACK
#2304	6912	LTE_VERY_FAST	6	151.764	971.615
#2560	7680	LTE_VERY_FAST	6	149.93	1092.77
 2560	7680	LTE_VERY_FAST	6	136	1092.77 // HACK
#2816	8448	LTE_VERY_FAST	6	146.849	1227.27
#3072	9216	LTE_VERY_FAST	6	146.186	1344.92
 3072	9216	LTE_VERY_FAST	6	137	1344.92 // HACK
#3328	9984	LTE_VERY_FAST	6	144.649	1472.47
#3584	10752	LTE_VERY_FAST	6	144.653	1585.7
 3584	10752	LTE_VERY_FAST	6	138	1585.7  // HACK
#3840	11520	LTE_VERY_FAST	6	142.903	1719.77
#4096	12288	LTE_VERY_FAST	6	141.207	1856.45
 4096	12288	LTE_VERY_FAST	6	139	1856.45 // HACK
#4352	13056	LTE_VERY_FAST	6	143.561	1940.14
 4608	13824	LTE_VERY_FAST	6	139.609	2112.41
#4864	14592	LTE_VERY_FAST	6	139.488	2231.71
 5120	15360	LTE_VERY_FAST	6	136.204	2405.81
#5376	16128	LTE_VERY_FAST	6	136.599	2518.79
 5632	16896	LTE_VERY_FAST	6	138.539	2601.78
#5888	17664	LTE_VERY_FAST	6	136.382	2763.07
 6144	18432	LTE_VERY_FAST	6	138.585	2837.37
