  Es/N0 | Eb/N0 |    BE     |    FE     |    BER    |    FER
  2.55  | 1.76  | 75106944 |    60810 | 1.293e-01 | 9.997e-01
  3.05  | 2.25  | 36677536 |    33664 | 4.340e-02 | 3.805e-01
  3.54  | 2.75  |   734837 |      702 | 8.975e-04 | 8.190e-03
  4.04  | 3.25  |     4401 |        4 | 5.746e-06 | 4.988e-05
  4.54  | 3.75  |        0 |        0 | 0.000e+00 | 0.000e+00
  5.04  | 4.24  |        0 |        0 | 0.000e+00 | 0.000e+00
  5.56  | 4.77  |        0 |        0 | 0.000e+00 | 0.000e+00
  6.05  | 5.26  |        0 |        0 | 0.000e+00 | 0.000e+00
  6.55  | 5.76  |        0 |        0 | 0.000e+00 | 0.000e+00
  7.05  | 6.26  |        0 |        0 | 0.000e+00 | 0.000e+00
  7.56  | 6.76  |        0 |        0 | 0.000e+00 | 0.000e+00
