#"1 core \_{AVX}"
#-	-	----	-----	----	-------
#K	N	ALGO	ITERS	ITHR	LATENCY
#-	-	----	-----	----	-------
#256	768	LTE_VERY_FAST	6	48.6884	168.254
 512	1536	LTE_VERY_FAST	6	47.3891	345.734
#768	2304	LTE_VERY_FAST	6	45.9123	535.282
 1024	3072	LTE_VERY_FAST	6	44.4301	737.518
#1280	3840	LTE_VERY_FAST	6	44.6227	917.919
 1536	4608	LTE_VERY_FAST	6	44.1277	1113.86
#1792	5376	LTE_VERY_FAST	6	44.2284	1296.54
 2048	6144	LTE_VERY_FAST	6	41.1792	1591.48
#2304	6912	LTE_VERY_FAST	6	43.7973	1683.39
 2560	7680	LTE_VERY_FAST	6	43.6562	1876.48
#2816	8448	LTE_VERY_FAST	6	43.5413	2069.57
 3072	9216	LTE_VERY_FAST	6	42.8991	2291.52
#3328	9984	LTE_VERY_FAST	6	43.6773	2438.25
 3584	10752	LTE_VERY_FAST	6	43.0835	2662.0
#3840	11520	LTE_VERY_FAST	6	43.0543	2854.07
 4096	12288	LTE_VERY_FAST	6	34.0329	3851.33
#4352	13056	LTE_VERY_FAST	6	33.4201	4167.08
 4608	13824	LTE_VERY_FAST	6	33.6695	4379.51
#4864	14592	LTE_VERY_FAST	6	33.6994	4618.72
 5120	15360	LTE_VERY_FAST	6	33.6467	4869.42
#5376	16128	LTE_VERY_FAST	6	33.3644	5156.16
 5632	16896	LTE_VERY_FAST	6	33.5575	5370.6
#5888	17664	LTE_VERY_FAST	6	33.555	5615.14
 6144	18432	LTE_VERY_FAST	6	33.5	5868.9
