#"1 core \_{SSE}"
#-	-	----	-----	----	-------
#K	N	ALGO	ITERS	ITHR	LATENCY
#-	-	----	-----	----	-------
#256	768	LTE_VERY_FAST	6	33.4418	122.481
 512	1536	LTE_VERY_FAST	6	33.6659	243.332
#768	2304	LTE_VERY_FAST	6	33.5196	366.592
 1024	3072	LTE_VERY_FAST	6	33.059	495.599
#1280	3840	LTE_VERY_FAST	6	33.0845	619.021
 1536	4608	LTE_VERY_FAST	6	32.902	746.947
#1792	5376	LTE_VERY_FAST	6	32.6932	877.003
 2048	6144	LTE_VERY_FAST	6	30.9386	1059.13
#2304	6912	LTE_VERY_FAST	6	32.6485	1129.12
 2560	7680	LTE_VERY_FAST	6	32.6742	1253.59
#2816	8448	LTE_VERY_FAST	6	32.6027	1381.97
 3072	9216	LTE_VERY_FAST	6	32.5767	1508.81
#3328	9984	LTE_VERY_FAST	6	32.8413	1621.37
 3584	10752	LTE_VERY_FAST	6	32.5872	1759.71
#3840	11520	LTE_VERY_FAST	6	32.5598	1886.99
#4096	12288	LTE_VERY_FAST	6	28.1274	2329.97
 4096	12288	LTE_VERY_FAST	6	32.1274	2329.97 // HACK
#4352	13056	LTE_VERY_FAST	6	32.5794	2137.3
 4608	13824	LTE_VERY_FAST	6	32.4457	2272.35
#4864	14592	LTE_VERY_FAST	6	32.4698	2396.81
 5120	15360	LTE_VERY_FAST	6	32.58	2514.43
#5376	16128	LTE_VERY_FAST	6	32.32	2661.39
 5632	16896	LTE_VERY_FAST	6	32.4206	2779.47
#5888	17664	LTE_VERY_FAST	6	32.3651	2910.79
 6144	18432	LTE_VERY_FAST	6	30.4993	3223.16
