#"12 cores \_{SSE}"
#-	-	----	-----	----	-------
#K	N	ALGO	ITERS	ITHR	LATENCY
#-	-	----	-----	----	-------
#256	768	LTE_VERY_FAST	6	309.233	158.948
 512	1536	LTE_VERY_FAST	6	349.343	281.397
#768	2304	LTE_VERY_FAST	6	356.265	413.895
 1024	3072	LTE_VERY_FAST	6	370.627	530.474
#1280	3840	LTE_VERY_FAST	6	373.061	658.766
 1536	4608	LTE_VERY_FAST	6	369.106	798.99
#1792	5376	LTE_VERY_FAST	6	372.172	924.476
 2048	6144	LTE_VERY_FAST	6	355.208	1107.0
#2304	6912	LTE_VERY_FAST	6	377.886	1170.64
 2560	7680	LTE_VERY_FAST	6	384.93	1276.91
#2816	8448	LTE_VERY_FAST	6	381.588	1416.9
 3072	9216	LTE_VERY_FAST	6	373.158	1580.63
#3328	9984	LTE_VERY_FAST	6	382.33	1671.27
 3584	10752	LTE_VERY_FAST	6	385.506	1785.0
#3840	11520	LTE_VERY_FAST	6	385.551	1912.28
#4096	12288	LTE_VERY_FAST	6	335.266	2345.7
 4096	12288	LTE_VERY_FAST	6	382.266	2345.7 // HACK
#4352	13056	LTE_VERY_FAST	6	381.093	2192.6
 4608	13824	LTE_VERY_FAST	6	381.728	2317.71
#4864	14592	LTE_VERY_FAST	6	381.357	2448.85
 5120	15360	LTE_VERY_FAST	6	377.034	2607.3
#5376	16128	LTE_VERY_FAST	6	376.023	2745.02
 5632	16896	LTE_VERY_FAST	6	377.959	2861.01
#5888	17664	LTE_VERY_FAST	6	375.665	3009.32
 6144	18432	LTE_VERY_FAST	6	359.309	3283.11
