#"1 core \_{AVX}"
#-	-	----	-----	----	-------
#K	N	ALGO	ITERS	ITHR	LATENCY
#-	-	----	-----	----	-------
#256	768	LTE_VERY_FAST	6	65.9349	124.244
 512	1536	LTE_VERY_FAST	6	63.798	256.81
#768	2304	LTE_VERY_FAST	6	62.6556	392.24
 1024	3072	LTE_VERY_FAST	6	63.095	519.344
#1280	3840	LTE_VERY_FAST	6	62.2076	658.441
 1536	4608	LTE_VERY_FAST	6	62.8257	782.355
#1792	5376	LTE_VERY_FAST	6	62.823	912.786
 2048	6144	LTE_VERY_FAST	6	59.7672	1096.52
#2304	6912	LTE_VERY_FAST	6	62.2445	1184.49
 2560	7680	LTE_VERY_FAST	6	62.4958	1310.81
#2816	8448	LTE_VERY_FAST	6	62.5355	1440.97
 3072	9216	LTE_VERY_FAST	6	62.3328	1577.08
#3328	9984	LTE_VERY_FAST	6	62.0663	1715.84
 3584	10752	LTE_VERY_FAST	6	61.1031	1876.96
#3840	11520	LTE_VERY_FAST	6	61.0875	2011.54
 4096	12288	LTE_VERY_FAST	6	47.9141	2735.57
#4352	13056	LTE_VERY_FAST	6	46.6972	2982.28
 4608	13824	LTE_VERY_FAST	6	47.2964	3117.7
#4864	14592	LTE_VERY_FAST	6	47.6227	3268.36
 5120	15360	LTE_VERY_FAST	6	47.5322	3446.93
#5376	16128	LTE_VERY_FAST	6	47.1931	3645.28
 5632	16896	LTE_VERY_FAST	6	47.4146	3801.03
#5888	17664	LTE_VERY_FAST	6	47.2339	3989.0
 6144	18432	LTE_VERY_FAST	6	47.534	4136.15
